id,name,availability,code_product,price,hrefs
5985,Карты игральные Paladone Playstation (PP4137PS),Нет в наличии,L08247,689,https://igroray.ru/catalog/karty-igralnye-playstation-pp4137ps/
5986,Ролевая игра Hobby World Dungeons & Dragons. Стартовый набор (Подземелья и драконы)(73600-R),Нет в наличии,L12097,2489,https://igroray.ru/catalog/rolevaya-igra-hobby-world-dungeons-dragons-startovyy-nabor-podzemelya-i-drakony/
5987,Настольная карточная игра Hobby World Эверделл: Золото долины. Делюкс-набор (915382),Нет в наличии,L11933,3789,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-everdell-zoloto-doliny-delyuks-nabor-915382/
5988,Настольная игра Hobby World Зомби в доме: Заражение (MAG119832),Нет в наличии,L12059,2989,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-zombi-v-dome-zarazhenie/
5989,Карты игральные Paladone The Lord Of The Rings (PP6809LR),Нет в наличии,L08246,889,https://igroray.ru/catalog/karty-igralnye-the-lord-of-the-rings-pp6809lr/
5990,Настольная карточная игра Hobby World Эверделл (915276),Нет в наличии,L11745,5989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-everdell-915276/
5991,Настольная карточная игра Hobby World Звёздные Войны: Восстание (915312),Нет в наличии,L11713,9989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-zvyezdnye-voyny-vosstanie-915312/
5992,Карты игральные Paladone Minecraft (PP6587MCF),Нет в наличии,L08700,689,https://igroray.ru/catalog/karty-igralnye-paladone-minecraft-pp6587mcf/
5993,Настольная карточная игра Hobby World Особняки безумия. Вторая редакция (915162),Нет в наличии,L11718,8989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-osobnyaki-bezumiya-vtoraya-redaktsiya-915162/
5994,Настольная карточная игра Hobby World Ticket to Ride: Европа Юбилейное издание (915312),Нет в наличии,L11712,13989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-ticket-to-ride-evropa-yubileynoe-izdanie-915312/
5995,Настольная карточная игра Hobby World Цивилизация Сида Мейера: Новый рассвет. Терра инкогнита (915229),Нет в наличии,L11882,3557,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-tsivilizatsiya-sida-meyera-novyy-rassvet-terra-inkognita-/
5996,Настольная игра POP! Funkoverse Harry Potter 100 Base Set (42631),Нет в наличии,L08571,3989,https://igroray.ru/catalog/nastolnaya-igra-pop-funkoverse-harry-potter-100-base-set-42631/
5997,Настольная карточная игра Hobby World Восходящее солнце (2022) (915369),Нет в наличии,L11714,9989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-voskhodyashchee-solntse-2022-915369/
5998,Настольная карточная игра Hobby World Звёздные Войны: Легион (915123),Нет в наличии,L11720,7989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-zvyezdnye-voyny-legion-915123/
5999,Настольная карточная игра Hobby World Эверделл: Фестиваль (915425),Нет в наличии,L11890,4489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-everdell-festival/
6000,Карты игральные Paladone Star Wars Playing Cards (PP4148SW),Нет в наличии,L08701,948,https://igroray.ru/catalog/karty-igralnye-paladone-star-wars-playing-cards-pp4148sw/
6001,Набор дисплеев Hobby World Star Wars Destiny Душа восстания (915215),Нет в наличии,L11727,6989,https://igroray.ru/catalog/nabor-displeev-hobby-games-star-wars-destiny-dusha-vosstaniya-915215/
6002,Настольная карточная игра Hobby World Древний ужас (1182),Нет в наличии,L11761,4889,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-drevniy-uzhas-1182/
6003,Настольная карточная игра Hobby World Fallout (181957),Нет в наличии,L11760,5489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-fallout-181957/
6004,Настольная игра Hobby World Щелчок судьбы (MAG119822),Нет в наличии,L12069,2989,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-shchelchok-sudby/
6005,Настольная карточная игра Hobby World Непостижимое (915479),Нет в наличии,L11744,5989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-nepostizhimoe-915479/
6006,Настольная игра POP! Funkoverse NBC 100 4 Pack (46074),Нет в наличии,L08572,4389,https://igroray.ru/catalog/nastolnaya-igra-pop-funkoverse-nbc-100-4-pack-46074/
6007,Набор дисплеев Hobby World Star Wars Destiny Сила единства (915217),Нет в наличии,L11729,6989,https://igroray.ru/catalog/nabor-displeev-hobby-games-star-wars-destiny-sila-edinstva-915217/
6008,Карты игральные Paladone Playstation Playing Cards PS5 (PP7930PS),Нет в наличии,L08702,948,https://igroray.ru/catalog/karty-igralnye-paladone-playstation-playing-cards-ps5-pp7930ps/
6009,Настольная игра Magellan Шакал: Остров Сокровищ,Нет в наличии,L12095,1989,https://igroray.ru/catalog/nastolnaya-igra-magellan-shakal-ostrov-sokrovishch/
6010,Настольная игра Hobby World Ticket to Ride: Junior (Билет на поезд): Европа (1867),Нет в наличии,L12028,2989,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-ticket-to-ride-junior-bilet-na-poezd-evropa/
6011,Настольная карточная игра Hobby World Немезида: Карноморфы (915342),Нет в наличии,L11732,6989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-nemezida-karnomorfy-915342/
6012,Настольная карточная игра Hobby World Каркассон: Big Box (915290),Нет в наличии,L11748,5989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-karkasson-big-box-915290/
6013,Настольная карточная игра Hobby World Властелин колец. Странствия в Средиземье: Тёмные тропы (915309),Нет в наличии,L11731,6989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-vlastelin-kolets-stranstviya-v-sredizeme-tyemnye-tropy-91530/
6014,Настольная карточная игра Hobby World Эверделл: Жемчужный ручей (915284),Нет в наличии,L11854,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-game-everdell-zhemchuzhnyy-ruchey-915284/
6015,Настольная игра ZVEZDA Эра: Средневековье (ZV-8713),Нет в наличии,L12534,5289,https://igroray.ru/catalog/nastolnaya-igra-zvezda-era-srednevekove/
6016,Набор дисплеев Hobby World Star Wars Destiny Путь Силы (915216),Нет в наличии,L11728,6989,https://igroray.ru/catalog/nabor-displeev-hobby-games-star-wars-destiny-put-sily-915216/
6017,Настольная игра ZVEZDA Exit Квест. Катакомбы ужаса (ZV-8845),Нет в наличии,L12590,1419,https://igroray.ru/catalog/nastolnaya-igra-zvezda-exit-kvest-katakomby-uzhasa/
6018,Настольная игра Hobby World Эверделл: Жемчужный ручей. Подводные сокровища. Делюкс-набор (915381),Нет в наличии,L11940,3489,https://igroray.ru/catalog/nastolnaya-igra-hobby-games-everdell-zhemchuzhnyy-ruchey-podvodnye-sokrovishcha-delyuks-nabor/
6019,Настольная карточная игра Hobby World Рюрик (915323),Нет в наличии,L11721,7490,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-ryurik-915323/
6020,Настольная карточная игра Hobby World Сумерки империи. Четвёртая редакция: Пророчество королей (915325),Нет в наличии,L11719,8989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-sumerki-imperii-chetvyertaya-redaktsiya-prorochestvo-koroley-915325/
6021,Настольная игра ZVEZDA Андор (ZV-8684),Нет в наличии,L12533,5289,https://igroray.ru/catalog/nastolnaya-igra-zvezda-andor/
6022,Настольная карточная игра Hobby World Немезида: Кошмары (915354),Нет в наличии,L11733,6989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-nemezida-koshmary-915354/
6023,Настольная карточная игра Hobby World Эверделл: Острые хребты (915408),Нет в наличии,L11862,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-everdell-ostrye-khrebty-915408/
6024,Настольная карточная игра Hobby World Ужас Аркхэма. Третья редакция (915126),Нет в наличии,L11735,6489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-uzhas-arkkhema-tretya-redaktsiya-915126/
6025,Настольная ролевая игра Hobby World Ведьмак (Книга) (717026),Нет в наличии,L12102,2489,https://igroray.ru/catalog/nastolnaya-rolevaya-igra-hobby-world-vedmak-kniga/
6026,Настольная карточная игра Hobby World Звёздные Войны: Внешнее кольцо (915176),Нет в наличии,L11749,5989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-zvyezdnye-voyny-vneshnee-koltso-915176/
6027,Настольная игра Magellan Улей (HIVE)(52239),Нет в наличии,L12064,2989,https://igroray.ru/catalog/nastolnaya-igra-magellan-nastolnaya-igra-uley-hive/
6028,Настольная карточная игра Hobby World Палео (915313),Нет в наличии,L11865,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-paleo-915313/
6029,Настольная карточная игра Hobby World Монополия: Рик и Морти (503386),Нет в наличии,L11931,3989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-monopoliya-rik-i-morti-503386/
6030,Настольная игра ZVEZDA Андор: Новые герои (ZV-8798),Нет в наличии,L12564,1855,https://igroray.ru/catalog/nastolnaya-igra-zvezda-andor-novye-geroi/
6031,Ролевая игра Hobby World Cyberpunk Red. Стартовый набор (915376),Нет в наличии,L12101,2489,https://igroray.ru/catalog/rolevaya-igra-hobby-world-cyberpunk-red-startovyy-nabor/
6032,Настольная игра ZVEZDA Андор 2: Поход на север (ZV-8941),Нет в наличии,L12539,4489,https://igroray.ru/catalog/nastolnaya-igra-zvezda-andor-2-pokhod-na-sever/
6033,Ролевая игра Hobby World Dungeons & Dragons. Вотердип: Драконий куш (73619-R),Нет в наличии,L11878,4489,https://igroray.ru/catalog/rolevaya-igra-hobby-games-dungeons-dragons-voterdip-drakoniy-kush-73619-r/
6034,Настольная карточная игра Hobby World Агрикола (новое издание) (1608),Нет в наличии,L11753,5489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-agrikola-novoe-izdanie-1608/
6035,Настольная карточная игра Hobby World Fallout Shelter (915303),Нет в наличии,L11868,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-fallout-shelter-915303/
6036,Настольная игра Hobby World Цитадели Делюкс (1885),Нет в наличии,L12075,2789,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-tsitadeli-delyuks/
6037,Настольная карточная игра Hobby World Остров духов (915078),Нет в наличии,L11726,7490,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-ostrov-dukhov-915078/
6038,Настольная карточная игра Hobby World Робинзон Крузо. Приключения на таинственном острове (181930),Нет в наличии,L11872,4989,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-world-robinzon-kruzo-priklyucheniya-na-tainstvennom-ostrove-181930/
6039,Настольная игра Hobby World Песнь льда и огня: Люди Горы (SIF1203),Нет в наличии,L12130,1715,https://igroray.ru/catalog/nastolnaya-igra-hobby-world-pesn-lda-i-ognya-lyudi-gory-sif1203/
6040,Настольная ролевая игра Hobby World Pathfinder: Вторая редакция. Стартовый набор (915386),Нет в наличии,L12108,2489,https://igroray.ru/catalog/nastolnaya-rolevaya-igra-hobby-world-pathfinder-vtoraya-redaktsiya-startovyy-nabor/
6041,Настольная карточная игра Hobby World Особняки безумия Вторая редакция: Путь змеи (915385),Нет в наличии,L11758,5489,https://igroray.ru/catalog/nastolnaya-kartochnaya-igra-hobby-games-osobnyaki-bezumiya-vtoraya-redaktsiya-put-zmei-915385/
6042,Настольная игра ZVEZDA Эра: Средневековье Реки и Дороги (ZV-8832),Нет в наличии,L12550,3489,https://igroray.ru/catalog/nastolnaya-igra-zvezda-era-srednevekove-reki-i-dorogi/
