id,name,operation,price,product_code,href
43,Смартфон Apple iPhone 13 128GB Blue (синий),||Операционная система: |IOS||Диагональ экрана: |6.1||Емкость аккумулятора: |3240 мА⋅ч||SIM-карты: |Nano SIM+eSIM||Количество основных (тыловых) камер: |2| ,65990,Код товара: 2595398,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-13-128gb-blue-siniy/
44,Смартфон Samsung Galaxy S21 FE (SM-G990E) 8/256GB (Exynos) Lavender (лавандовый),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). Full HD. Dynamic AMOLED 2X||Емкость аккумулятора: |4500 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",44990,Код товара: 2767332,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-s21-fe-sm-g990e-8-256gb-exynos-lavender-lavandovyiy/
45,Смартфон Apple iPhone 14 Pro Max 256GB Deep Purple (глубокий фиолетовый),||Операционная система: |IOS||Диагональ экрана: |6.7||Емкость аккумулятора: |4323 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ,131990,Код товара: 2733511,https://www.niceprice62.ru/telefony/mobilnye-telefony/apple-iphone-14-pro-max-256gb-deep-purple-glubokiy-fioletovyiy/
46,Смартфон Samsung Galaxy S23 (SM-S911B) 8/256GB (Snapdragon 8 Gen2) Lavender (лаванда),"||Операционная система: |Android||Диагональ экрана: |6.1"" (2340×1080). Full HD. AMOLED||Емкость аккумулятора: |3900 мА⋅ч||SIM-карты: |Dual: nano SIM + eSIM||Количество основных (тыловых) камер: |3| ",66990,Код товара: 2776213,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-s23-sm-s911b-8-256gb-snapdragon-8-gen2-lavender-lavanda/
47,Смартфон Samsung Galaxy S21 FE (SM-G990E) 8/256GB (Exynos) Graphite (графитовый),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). Full HD. Dynamic AMOLED 2X||Емкость аккумулятора: |4500 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",42990,Код товара: 2788691,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-s21-fe-sm-g990e-8-256gb-exynos-graphite-grafitovyiy/
48,Смартфон realme C55 8/256GB Sunshower (перламутровый),"||Операционная система: |Android||Диагональ экрана: |6.72"" (2400x1080). Full HD. IPS||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |2| ",16490,Код товара: 2799725,https://www.niceprice62.ru/telefony/mobilnye-telefony/realme-c55-8-256gb-sunshower-perlamutrovyiy/
49,Смартфон Xiaomi Redmi Note 12 4G 4/128GB (NFC) (RU/A) Onyx Grey (серый оникс),||Операционная система: |Android||Диагональ экрана: |6.67||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ,18438,Код товара: 2813615,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-4-128gb-nfc-ru-a-onyx-grey-seryiy-oniks/
50,Смартфон Xiaomi Redmi Note 12 4G 6/128GB (NFC) (RU/A) Ice Blue (синий лед),||Операционная система: |Android||Диагональ экрана: |6.67||Емкость аккумулятора: |5000 мА⋅ч||Количество основных (тыловых) камер: |3| ,15990,Код товара: 2811639,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-6-128gb-nfc-ru-a-ice-blue-siniy-led/
51,Телефон Philips Xenium E2602 Blue (синий),"||Операционная система: |Другая||Диагональ экрана: |2.8"" (320×240). TFT||Емкость аккумулятора: |1800 мА⋅ч||SIM-карты: |2 SIM||Количество основных (тыловых) камер: |1| ",3143,Код товара: 2776131,https://www.niceprice62.ru/telefony/mobilnye-telefony/philips-xenium-e2602-blue-siniy/
52,Смартфон Xiaomi Redmi Note 12 4G 8/256GB (NFC) (Global Version) Onyx Grey (серый оникс),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). 2K QHD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",17990,Код товара: 2829070,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-8-256gb-nfc-global-version-onyx-grey-seryiy-oniks/
53,Смартфон Xiaomi POCO X5 Pro 5G 8/256GB (NFC) (Global Version) Blue (синий),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). Full HD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",28325,Код товара: 2823736,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-poco-x5-pro-5g-8-256gb-nfc-global-version-blue-siniy/
54,Смартфон Samsung Galaxy A54 5G (SM-A546) 6/128GB Graphite (графит),"||Операционная система: |Android||Диагональ экрана: |6.4"" (2340×1080). 2K QHD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |2 nano SIM||Количество основных (тыловых) камер: |3| ",28290,Код товара: 2800179,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a54-5g-sm-a546-6-128gb-graphite-grafit/
55,Смартфон Xiaomi Redmi Note 12 4G 6/128GB (NFC) (RU/A) Mint Green (мятный зеленый),||Операционная система: |Android||Диагональ экрана: |6.67||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ,15990,Код товара: 2825414,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-6-128gb-nfc-ru-a-mint-green-myatnyiy-zelenyiy/
56,Смартфон Xiaomi Redmi 12 8/256GB (NFC) (Global Version) Midnight Black (полночный черный),||Операционная система: |Android||Диагональ экрана: |6.79||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ,15490,Код товара: 2823794,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-12-8-256gb-nfc-global-version-midnight-black-polnochnyiy-chernyiy/
57,Смартфон Xiaomi Redmi 12 4/128GB (NFC) (RU/A) Midnight Black (полночный черный),||Операционная система: |Android||Диагональ экрана: |6.79||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ,13190,Код товара: 2819387,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-12-4-128gb-nfc-ru-a-midnight-black-polnochnyiy-chernyiy/
58,Смартфон Xiaomi Redmi Note 12 4G 4/128GB (NFC) (RU/A) Ice Blue (синий лед),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). 2K QHD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",14470,Код товара: 2817185,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-4-128gb-nfc-ru-a-ice-blue-siniy-led/
59,Смартфон Xiaomi Redmi Note 12 4G 8/256GB (NFC) (RU/A) Mint Green (мятный зеленый),"||Операционная система: |Android||Диагональ экрана: |6.67"" (2400x1080). 2K QHD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",17990,Код товара: 2823860,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-note-12-4g-8-256gb-nfc-ru-a-mint-green-myatnyiy-zelenyiy/
60,Смартфон Xiaomi Redmi 12 8/256GB (NFC) (RU/A) Sky Blue (небесно-голубой),"||Операционная система: |Android||Диагональ экрана: |6.79"" (2400x1080). Full HD. AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",15490,Код товара: 2823879,https://www.niceprice62.ru/telefony/mobilnye-telefony/xiaomi-redmi-12-8-256gb-nfc-ru-a-sky-blue-nebesno-goluboy/
61,Смартфон Samsung Galaxy S23 (SM-S911B) 8/256GB (Snapdragon 8 Gen2) Green (зеленый),"||Операционная система: |Android||Диагональ экрана: |6.1"" (2340×1080). Full HD. AMOLED||Емкость аккумулятора: |3900 мА⋅ч||SIM-карты: |Dual: nano SIM + eSIM||Количество основных (тыловых) камер: |3| ",67959,Код товара: 2776212,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-s23-sm-s911b-8-256gb-snapdragon-8-gen2-green-zelenyiy/
62,Смартфон Samsung Galaxy S23 Plus (SM-S916B) 8/256GB (Snapdragon 8 Gen2) Phantom Black (черный фантом),"||Операционная система: |Android||Диагональ экрана: |6.6"" (2340×1080). Full HD. AMOLED||Емкость аккумулятора: |4700 мА⋅ч||SIM-карты: |Dual: nano SIM + eSIM||Количество основных (тыловых) камер: |3| ",72698,Код товара: 2776215,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-s23-plus-sm-s916b-8-256gb-snapdragon-8-gen2-phantom-black-chernyiy-fantom/
63,Смартфон Samsung Galaxy A34 5G (SM-A346) 8/128GB Graphite (графит),"||Операционная система: |Android||Диагональ экрана: |6.6"" (2340×1080). 2K QHD. Super AMOLED||Емкость аккумулятора: |5000 мА⋅ч||SIM-карты: |Dual nano SIM||Количество основных (тыловых) камер: |3| ",25490,Код товара: 2796373,https://www.niceprice62.ru/telefony/mobilnye-telefony/samsung-galaxy-a34-5g-sm-a346-8-128gb-graphite-grafit/
